text_id,text,polarity,emotion_joy,emotion_sadness,emotion_anticipation,emotion_surprise,emotion_anger,emotion_fear,emotion_disgust,emotion_trust
jp-001,合格して本当にうれしい。例1,positive,1,0,0,0,0,0,0,1
jp-002,旅行の日が待ち遠しくて楽しみだ。例1,positive,1,0,1,0,0,0,0,0
jp-003,思いがけない贈り物に驚いて喜んだ。例1,positive,1,0,0,1,0,0,0,0
jp-004,友人を信頼できて安心した。例1,positive,1,0,0,0,0,0,0,1
jp-005,試合に負けてとても悲しい。例1,negative,0,1,0,0,0,0,0,0
jp-006,失礼な対応に腹が立ち嫌になった。例1,negative,0,0,0,0,1,0,1,0
jp-007,突然の地震が怖くて驚いた。例1,negative,0,0,0,1,0,1,0,0
jp-008,大切な物をなくして悲しく不安だ。例1,negative,0,1,0,0,0,1,0,0
jp-009,今日は駅まで歩いた。例1,neutral,0,0,0,0,0,0,0,0
jp-010,明日の会議を予定している。例1,neutral,0,0,1,0,0,0,0,0
jp-011,担当者から通常の連絡を受けた。例1,neutral,0,0,0,0,0,0,0,0
jp-012,予定が変更されたと聞いた。例1,neutral,0,0,0,1,0,0,0,0
jp-013,合格して本当にうれしい。例2,positive,1,0,0,0,0,0,0,1
jp-014,旅行の日が待ち遠しくて楽しみだ。例2,positive,1,0,1,0,0,0,0,0
jp-015,思いがけない贈り物に驚いて喜んだ。例2,positive,1,0,0,1,0,0,0,0
jp-016,友人を信頼できて安心した。例2,positive,1,0,0,0,0,0,0,1
jp-017,試合に負けてとても悲しい。例2,negative,0,1,0,0,0,0,0,0
jp-018,失礼な対応に腹が立ち嫌になった。例2,negative,0,0,0,0,1,0,1,0
jp-019,突然の地震が怖くて驚いた。例2,negative,0,0,0,1,0,1,0,0
jp-020,大切な物をなくして悲しく不安だ。例2,negative,0,1,0,0,0,1,0,0
jp-021,今日は駅まで歩いた。例2,neutral,0,0,0,0,0,0,0,0
jp-022,明日の会議を予定している。例2,neutral,0,0,1,0,0,0,0,0
jp-023,担当者から通常の連絡を受けた。例2,neutral,0,0,0,0,0,0,0,0
jp-024,予定が変更されたと聞いた。例2,neutral,0,0,0,1,0,0,0,0
jp-025,合格して本当にうれしい。例3,positive,1,0,0,0,0,0,0,1
jp-026,旅行の日が待ち遠しくて楽しみだ。例3,positive,1,0,1,0,0,0,0,0
jp-027,思いがけない贈り物に驚いて喜んだ。例3,positive,1,0,0,1,0,0,0,0
jp-028,友人を信頼できて安心した。例3,positive,1,0,0,0,0,0,0,1
jp-029,試合に負けてとても悲しい。例3,negative,0,1,0,0,0,0,0,0
jp-030,失礼な対応に腹が立ち嫌になった。例3,negative,0,0,0,0,1,0,1,0
jp-031,突然の地震が怖くて驚いた。例3,negative,0,0,0,1,0,1,0,0
jp-032,大切な物をなくして悲しく不安だ。例3,negative,0,1,0,0,0,1,0,0
jp-033,今日は駅まで歩いた。例3,neutral,0,0,0,0,0,0,0,0
jp-034,明日の会議を予定している。例3,neutral,0,0,1,0,0,0,0,0
jp-035,担当者から通常の連絡を受けた。例3,neutral,0,0,0,0,0,0,0,0
jp-036,予定が変更されたと聞いた。例3,neutral,0,0,0,1,0,0,0,0
jp-037,合格して本当にうれしい。例4,positive,1,0,0,0,0,0,0,1
jp-038,旅行の日が待ち遠しくて楽しみだ。例4,positive,1,0,1,0,0,0,0,0
jp-039,思いがけない贈り物に驚いて喜んだ。例4,positive,1,0,0,1,0,0,0,0
jp-040,友人を信頼できて安心した。例4,positive,1,0,0,0,0,0,0,1
jp-041,試合に負けてとても悲しい。例4,negative,0,1,0,0,0,0,0,0
jp-042,失礼な対応に腹が立ち嫌になった。例4,negative,0,0,0,0,1,0,1,0
jp-043,突然の地震が怖くて驚いた。例4,negative,0,0,0,1,0,1,0,0
jp-044,大切な物をなくして悲しく不安だ。例4,negative,0,1,0,0,0,1,0,0
jp-045,今日は駅まで歩いた。例4,neutral,0,0,0,0,0,0,0,0
jp-046,明日の会議を予定している。例4,neutral,0,0,1,0,0,0,0,0
jp-047,担当者から通常の連絡を受けた。例4,neutral,0,0,0,0,0,0,0,0
jp-048,予定が変更されたと聞いた。例4,neutral,0,0,0,1,0,0,0,0
